Location;/homec/gsp15/gsp1514/pfasst-analysis/para-vs-intel/trace_4_intelpara/trace/traces.otf2;
Number of Processes;4;
ClkPeriod/sec;1000000000
StartTime[Clk];0
StopTime[Clk];3031267061
Type;Function Summary;

Function;Function Group;Calls;excTime[Clk];incTime[Clk];excAvg[Clk];incAvg[Clk];
MPI_Comm_get_name;MPI;4;19494;19494;4873.5;4873.5;
MPI_Comm_rank;MPI;128;37107;37107;289.8984375;289.8984375;
MPI_Comm_size;MPI;4;5790;5790;1447.5;1447.5;
MPI_Init;MPI;4;32237924;32237924;8059481;8059481;
MPI_Initialized;MPI;124;163146;163146;1315.6935483871;1315.6935483871;
MPI_Iprobe;MPI;9;111442;111442;12382.4444444444;12382.4444444444;
MPI_Isend;MPI;24;637554;637554;26564.75;26564.75;
MPI_Recv;MPI;36;2797477519;2797477519;77707708.8611111;77707708.8611111;
MPI_Send;MPI;16;769134434.244444;769134434.244444;48070902.1402778;48070902.1402778;
MPI_Type_commit;MPI;4;10119;10119;2529.75;2529.75;
MPI_Type_create_struct;MPI;4;12070;12070;3017.5;3017.5;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::TwoLevelPfasst;Application;4;139146;22603042;34786.5;5650760.5;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::TwoLevelMLSDC;Application;8;600303;27882581;75037.875;3485322.625;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::init_loggers;Application;4;13312116;13350682;3328029;3337670.5;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::init_loggers;Application;4;8483586;8512911;2120896.5;2128227.75;
pfasst::comm::MpiP2P::MpiP2P;Application;4;4587148;4637661;1146787;1159415.25;
pfasst::comm::Communicator::Communicator;Application;8;14058;22727;1757.25;2840.875;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::get_coarse;Application;214;189217;189217;884.191588785047;884.191588785047;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::get_fine;Application;202;202723;202723;1003.57920792079;1003.57920792079;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::set_options;Application;4;8625;309365;2156.25;77341.25;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::set_options;Application;4;296197;300740;74049.25;75185;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::setup;Application;4;154375;24397246;38593.75;6099311.5;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::setup;Application;4;24222445;24238510;6055611.25;6059627.5;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::get_num_levels;Application;8;8936;8936;1117;1117;
pfasst::comm::MpiP2P::get_size;Application;70;18638;18638;266.257142857143;266.257142857143;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::run;Application;4;21755896;11946459713.9778;5438974;2986614928.49444;
pfasst::comm::MpiP2P::get_rank;Application;219;52987;52987;241.949771689498;241.949771689498;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::predictor;Application;4;392831240;1427604155;98207810;356901038.75;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::predict_coarse;coarse;4;47766978;47781258;11941744.5;11945314.5;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::send_coarse;Application;23;126386;769465634.244444;5495.04347826087;33455027.5758454;
pfasst::comm::MpiP2P::is_last;Application;54;38235;65244;708.055555555556;1208.22222222222;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::compute_tag;Application;85;437263;437263;5144.27058823529;5144.27058823529;
pfasst::comm::MpiP2P::send;Application;16;44040;769178474.244444;2752.5;48073654.6402778;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::sweep_fine;fine;16;2692750961;2692847562;168296935.0625;168302972.625;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::send_fine;Application;16;71121;572545;4445.0625;35784.0625;
pfasst::comm::MpiP2P::isend;Application;12;169201;422209;14100.0833333333;35184.0833333333;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::advance_iteration;Application;16;1805022891.73333;4431664699.73333;112813930.733333;276979043.733333;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::get_check_prev_status;Application;16;676991;2625987634;42311.9375;164124227.125;
pfasst::comm::MpiP2P::is_first;Application;62;66834;100286;1077.96774193548;1617.51612903226;
pfasst::comm::Communicator::get_root;Application;62;18636;18636;300.58064516129;300.58064516129;
